id,autore-0-name,autore-0-url,autore-0-rif,autore-0-ambito,autore-0-motiv,autore-1-name,autore-1-url,autore-1-rif,autore-1-ambito,autore-1-motiv,autore-2-name,autore-2-url,autore-2-rif,autore-2-ambito,autore-2-motiv,autore-3-name,autore-3-url,autore-3-rif,autore-3-ambito,autore-3-motiv,autore-4-name,autore-4-url,autore-4-rif,autore-4-ambito,autore-4-motiv,oggetto-def,oggetto-id,soggetto,denominazione,tecnica,lavorazione,descrizione,misure,loc-0-prov,loc-0-comune,loc-0-geonames,loc-0-lat,loc-0-long,loc-0-contenitore,loc-0-specifica,loc-0-isOriginal,loc-1-isOriginal,loc-1-prov,loc-1-comune,loc-1-geonames,loc-1-contenitore,loc-1-specifica,loc-1-crono,loc-2-isOriginal,loc-2-prov,loc-2-comune,loc-2-geonames,loc-2-contenitore,loc-2-specifica,loc-2-crono,loc-3-isOriginal,loc-3-prov,loc-3-comune,loc-3-geonames,loc-3-contenitore,loc-3-specifica,loc-3-crono,loc-4-isOriginal,loc-4-prov,loc-4-comune,loc-4-geonames,loc-4-contenitore,loc-4-specifica,loc-4-crono,loc-5-isOriginal,loc-5-prov,loc-5-comune,loc-5-geonames,loc-5-contenitore,loc-5-specifica,loc-5-crono,loc-6-isOriginal,loc-6-prov,loc-6-comune,loc-6-geonames,loc-6-contenitore,loc-6-specifica,loc-6-crono,loc-7-isOriginal,loc-7-prov,loc-7-comune,loc-7-geonames,loc-7-contenitore,loc-7-specifica,loc-7-crono,data-da,data-a,not-storico-critiche,stato-conservazione,restauro,relazioni,bibliografia,img-path,more-img-paths,autore-scheda
1,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP2),Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP1),,,,,,,,,,,,,,,,rilievo; frammento,elemento d'insieme,Testa di giovane,,modellazione,policromia perduta,"Il frammento mostra la testa (rotta alla base del collo) di un giovinetto, forse un angelo, con spesse ciocche ondulate che gli incorniciano il viso e una corona vegetale che gli cinge la fronte",altezza 11 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo. Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Giancarlo Gentilini ha riferito (oralmente ad Aldo Galli) queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori forse identificabile con Fondulino de Fondulis, nonno di Agostino.",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Polittico di San Marco già nella Cattedrale di Crema,"M2, 50-51; AP1, 72; AP2, 18; AM1, 138-140; AM2, 51; AM3, 70",1.jpg,,Marco Scansani
2,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP2),Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP1),,,,,,,,,,,,,,,,rilievo; frammento,elemento d'insieme,Testa di giovane,,modellazione,policromia perduta,"Il frammento mostra la testa (priva del collo) di un giovinetto, forse un angelo, con spesse ciocche ondulate che gli incorniciano il viso",altezza 9 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo. Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Giancarlo Gentilini ha riferito (oralmente ad Aldo Galli) queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori forse identificabile con Fondulino de Fondulis, nonno di Agostino.",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Polittico di San Marco già nella Cattedrale di Crema,"M2, 50-51; AP1, 72; AP2, 18; AM1, 138-140; AM2, 51; AM3, 70",2.jpg,,Marco Scansani
3,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP2),Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP1),,,,,,,,,,,,,,,,rilievo; frammento,elemento d'insieme,Testa di giovane,,modellazione,policromia perduta,"Il frammento mostra la testa (rotta alla base del collo) di un giovinetto, forse un angelo, con spesse ciocche ondulate che gli incorniciano il viso e una corona vegetale che gli cinge la fronte",altezza 10 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo. Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Giancarlo Gentilini ha riferito (oralmente ad Aldo Galli) queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori forse identificabile con Fondulino de Fondulis, nonno di Agostino.",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Polittico di San Marco già nella Cattedrale di Crema,"M2, 50-51; AP1, 72; AP2, 18; AM1, 138-140; AM2, 51; AM3, 70",3.jpg,,Marco Scansani
4,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,,,,,,rilievo; frammento,elemento d'insieme,Veste,,modellazione,policromia perduta,Il frammento mostra la porzione di un busto con una mano poggiata sulla spalla sinistra,"15x19,5x10 cm",CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo. Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, il nonno di Agostino",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Polittico di San Marco già nella Cattedrale di Crema,"AM1, 141",4.jpg,,Marco Scansani
5,Maestro degli angeli cantori,,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,,,,,,rilievo; frammento,elemento d'insieme,Veste,,modellazione,policromia perduta,Il frammento mostra la porzione di una veste con una bordura di pelliccia,"15,5x17x10 cm",CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo. Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, il nonno di Agostino",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Polittico di San Marco già nella Cattedrale di Crema,"AM1, 141",5.jpg,,Marco Scansani
6,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,,,,,,rilievo; frammento,elemento d'insieme,Veste,,modellazione,policromia perduta,Il frammento mostra la porzione di una manica con sbuffo,"23x14,5x9 cm",CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo. Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, il nonno di Agostino",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Polittico di San Marco già nella Cattedrale di Crema,"AM1, 141",6.jpg,,Marco Scansani
7,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,,,,,,rilievo; frammento,elemento d'insieme,Veste,,modellazione,policromia perduta,Il frammento mostra la parte terminale decorata di una veste da cui emerge la porzione di un piede,15x21x13 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo. Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, il nonno di Agostino",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Polittico di San Marco già nella Cattedrale di Crema,"AM1, 141",7.jpg,,Marco Scansani
8,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,,,,,,rilievo; frammento,elemento d'insieme,Veste,,modellazione,policromia perduta,Il frammento la porzione di un panneggio,16x15x10 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo. Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, il nonno di Agostino",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Polittico di San Marco già nella Cattedrale di Crema,"AM1, 141",8.jpg,,Marco Scansani
9,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,,,,,,rilievo; frammento,elemento d'insieme,Ala,,modellazione,policromia perduta,Il frammento mostra la porzione di un'ala,"15x19,5x10 cm",CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo. Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Giancarlo Gentilini ha riferito (oralmente ad Aldo Galli) queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori forse identificabile con Fondulino de Fondulis, nonno di Agostino.",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Polittico di San Marco già nella Cattedrale di Crema,"AM1, 141",9.jpg,,Marco Scansani
10,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,,,,,,rilievo; frammento,elemento d'insieme,Veste,,modellazione,policromia perduta,Il frammento mostra la porzione di un busto,<i><i>Da verificare</i></i>,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. Alcuni dei pezzi furono poi depositati presso il museo, altri, come questo, finirono invece nella raccolta di Ugo Chiappa che li murò nel portico di casa sua.Si tratta con ogni probabilità dei resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, nonno di Agostino.",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Polittico di San Marco già nella Cattedrale di Crema,"AM1, 142",10.jpg,,Marco Scansani
