ID,AUTORE,ULAN,SPECIFICHE-AUTORE,SCUOLA,AUTORE-MOTIVAZIONE,ALTRO-AUTORE-1,ALTRO-AUTORE-1-ULAN,ALTRO-AUTORE-1-SPECIFICHE-AUTORE,ALTRO-AUTORE-1-SCUOLA,ALTRO-AUTORE-1-MOTIVAZIONE,ALTRO-AUTORE-2,ALTRO-AUTORE-2-ULAN,ALTRO-AUTORE-2-SPECIFICHE-AUTORE,ALTRO-AUTORE-2-SCUOLA,ALTRO-AUTORE-2-MOTIVAZIONE,ALTRO-AUTORE-3,ALTRO-AUTORE-3-ULAN,ALTRO-AUTORE-3-SPECIFICHE-AUTORE,ALTRO-AUTORE-3-SCUOLA,ALTRO-AUTORE-3-MOTIVAZIONE,OGGETTO-DEFINIZIONE,OGGETTO-ID,SOGGETTO,DENOMINAZIONE,TECNICA,LAVORAZIONE,DIMENSIONI,LOC0-PROV,LOC0-CITTA,LOC0-GEONAMES,LOC0-LAT,LOC0-LONG,LOC0-CONT,LOC0-CONT-SPECIFICHE,ORIGINALE-BOOL,LOC1-TYPE,LOC1-PROV,LOC1-CITTA,LOC1-GEONAMES,LOC1-CONT,LOC1-CONT-SPECIFICHE,LOC1-DATE,LOC2-TYPE,LOC2-PROV,LOC2-CITTA,LOC2-GEONAMES,LOC2-CONT,LOC2-CONT-SPECIFICHE,LOC2-DATE,DATA-FROM,DATA-TO,RELAZIONE,BIBLIOGRAFIA-GENERALE
1,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP2),Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP1),,,,,,,,,,,rilievo,elemento d'insieme,Testa di giovane,,modellazione,policromia perduta,altezza 11 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AP1, 72; AP2, 18; AM1, 138-140; AM2, 51; AM3, 70; M2, 50-51"
2,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP2),Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP1),,,,,,,,,,,rilievo,elemento d'insieme,Testa di giovane,,modellazione,policromia perduta,altezza 9 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AP1, 72; AP2, 18; AM1, 138-140; AM2, 51; AM3, 70; M2, 50-51"
3,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP2),Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP1),,,,,,,,,,,rilievo,elemento d'insieme,Testa di giovane,,modellazione,policromia perduta,altezza 10 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AP1, 72; AP2, 18; AM1, 138-140; AM2, 51; AM3, 70; M2, 50-51"
4,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Busto,,modellazione,policromia perduta," 15x19,5x10 cm",CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
5,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Veste,,modellazione,policromia perduta," 15,5x17x10 cm",CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
6,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Panneggio,,modellazione,policromia perduta," 23x14,5x9 cm",CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
7,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Veste,,modellazione,policromia perduta, 15x21x13 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
8,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Panneggio,,modellazione,policromia perduta, 16x15x10 cm,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
9,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Ala,,modellazione,policromia perduta," 15x19,5x10 cm",CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Museo Civico di Crema e del Cremasco,,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
10,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,,,,,,,,,,,rilievo,elemento d'insieme,Busto,,modellazione,policromia perduta,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,45.36264,9.68176,Parco Chiappa,portico settentrionale della villa,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950,,,,,,,,1456,1463,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
