ID,NOME AUTORE,URL ULAN O ID AUTORE NON ULAN,RIF. AUTORE,AMBITO CULTURALE,MOTIVAZIONE ATTRIBUZIONE,ALTRE ATTRIBUZIONI: NOME,ALTRE ATTRIBUZIONI: URL ULAN O ID NON ULAN,ALTRE ATTRIBUZIONI: RIF. AUTORE,ALTRE ATTRIBUZIONI: AMBITO CULTURALE,ALTRE ATTRIBUZIONI: MOTIVAZIONE ATTRIBUZIONE,OGGETTO DEFINIZIONE,OGGETTO IDENTIFICAZIONE,OGGETTO CATEGORIA,SOGGETTO,DENOMINAZIONE TRADIZIONALE,TECNICA,LAVORAZIONE,DESCRIZIONE,MISURE,LOCALIZZAZIONE PROVINCIA,LOCALIZZAZIONE COMUNE,URL GEONAMES,LUOGO CONTENITORE,LOCALIZZAZIONE SPECIFICA,LOCALIZZAZIONI PRECEDENTI: TIPO,LOCALIZZAZIONI PRECEDENTI: PROVINCIA,LOCALIZZAZIONI PRECEDENTI: COMUNE,LOCALIZZAZIONI PRECEDENTI: URL GEONAMES,LOCALIZZAZIONI PRECEDENTI: CONTENITORE,LOCALIZZAZIONI PRECEDENTI: SPECIFICA,LOCALIZZAZIONI PRECEDENTI: CRONOLOGIA,COMMISSIONE,DATAZIONE DA,DATAZIONE A,NOTIZIE STORICO CRITICHE,STATO DI CONSERVAZIONE,RESTAURI,OGGETTI IN RELAZIONE,BIBLIOGRAFIA
1,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP2),Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP1),frammento,elemento d’insieme,opera a tutto tondo,testa di giovane,,terracotta modellata,policroma,"Il frammento mostra la testa (rotta alla base del collo) di un giovinetto, forse un angelo, con spesse ciocche ondulate che gli incorniciano il visp",cm 11,CR,Crema,https://www.geonames.org/3177841/crema.html,Museo Civico di Crema e del Cremasco,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo.
Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Giancarlo Gentilini ha riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori forse identificabile con Fondulino de Fondulis, nonno di Agostino.",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AP1, 72; AP2, 18; AM1, 138-140; AM2, 51; AM3, 70; M2, 50-51"
2,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP2),Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP1),frammento,elemento d’insieme,opera a tutto tondo,testa di giovane,,terracotta modellata,policroma,"Il frammento mostra la testa (priva del collo) di un giovinetto, forse un angelo, con spesse ciocche ondulate che gli incorniciano il viso",cm 9,CR,Crema,https://www.geonames.org/3177841/crema.html,Museo Civico di Crema e del Cremasco,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo.
Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Giancarlo Gentilini ha riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori forse identificabile con Fondulino de Fondulis, nonno di Agostino.",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AP1, 72; AP2, 18; AM1, 138-140; AM2, 51; AM3, 70; M2, 50-51"
3,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP2),Agostino de Fondulis,http://vocab.getty.edu/page/ulan/500005603,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AP1),frammento,elemento d’insieme,opera a tutto tondo,testa di giovane,,terracotta modellata,policroma,"Il frammento mostra la testa (rotta alla base del collo) di un giovinetto, forse un angelo, con spesse ciocche ondulate che gli incorniciano il viso e una corona vegetale che gli cinge la fronte",cm 10,CR,Crema,https://www.geonames.org/3177841/crema.html,Museo Civico di Crema e del Cremasco,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo.
Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Giancarlo Gentilini ha riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori forse identificabile con Fondulino de Fondulis, nonno di Agostino.",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AP1, 72; AP2, 18; AM1, 138-140; AM2, 51; AM3, 70; M2, 50-51"
4,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,frammento,elemento d’insieme,opera a tutto tondo,busto,,terracotta modellata,policroma,Il frammento mostra la porzione di un busto con una mano poggiata sulla spalla sinistra,"cm 15x19,5x10",CR,Crema,https://www.geonames.org/3177841/crema.html,Museo Civico di Crema e del Cremasco,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo.
Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, il nonno di Agostino",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
5,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,frammento,elemento d’insieme,opera a tutto tondo,veste,,terracotta modellata,policroma,Il frammento mostra la porzione di una veste con una bordura di pelliccia,"cm 15,5x17x10",CR,Crema,https://www.geonames.org/3177841/crema.html,Museo Civico di Crema e del Cremasco,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo.
Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, il nonno di Agostino",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
6,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,frammento,elemento d’insieme,opera a tutto tondo,panneggio,,terracotta modellata,policroma,Il frammento mostra la porzione di una manica con sbuffo,"cm 23x14,5x9",CR,Crema,https://www.geonames.org/3177841/crema.html,Museo Civico di Crema e del Cremasco,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo.
Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, il nonno di Agostino",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
7,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,frammento,elemento d’insieme,opera a tutto tondo,veste,,terracotta modellata,policroma,Il frammento mostra la parte terminale decorata di una veste da cui emerge la porzione di un piede,cm 15x21x13,CR,Crema,https://www.geonames.org/3177841/crema.html,Museo Civico di Crema e del Cremasco,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo.
Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, il nonno di Agostino",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
8,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,frammento,elemento d’insieme,opera a tutto tondo,panneggio,,terracotta modellata,policroma,Il frammento la porzione di un panneggio,cm 16x15x10,CR,Crema,https://www.geonames.org/3177841/crema.html,Museo Civico di Crema e del Cremasco,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo.
Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, il nonno di Agostino",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
9,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,frammento,elemento d’insieme,opera a tutto tondo,ala,,terracotta modellata,policroma,Il frammento mostra la porzione di un'ala,"cm 15x19,5x10",CR,Crema,https://www.geonames.org/3177841/crema.html,Museo Civico di Crema e del Cremasco,,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1960,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. I pezzi furono dapprima conservati sopra gli armadi della sagrestia, e l’11 aprile 1960 vennero depositati al Museo.
Sono con ogni probabilità i resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Giancarlo Gentilini ha riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori forse identificabile con Fondulino de Fondulis, nonno di Agostino.",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 141"
10,Maestro degli angeli cantori,1,,"Scuola italiana, scuola lombarda, scuola cremasca",Bibliografia (AM1),,,,,,frammento,elemento d’insieme,opera a tutto tondo,busto,,terracotta modellata,policroma,Il frammento mostra la porzione di un busto,da verificare,CR,Crema,https://www.geonames.org/3177841/crema.html,Parco Chiappa,portico settentrionale della villa,O,CR,Crema,https://www.geonames.org/3177841/crema.html,Cattedrale di Santa Maria Assunta,,1456-1950 circa,,1456,1463,"Il frammento fu rinvenuto il 10 settembre 1912 durante dei lavori di sistemazione all’altare di San Marco nel Duomo di Crema insieme ad altre porzioni di terracotta. Alcuni dei pezzi furono poi depositati presso il museo, altri, come questo, finirono invece nella raccolta di Ugo Chiappa che li murò nel portico di casa sua.
Si tratta con ogni probabilità dei resti dell’antico altare di San Marco: un’importante struttura fittile realizzata alla metà del Quattrocento. Numerose oblazioni vennero destinate alla sua costruzione fin dal 1450 per sostituirlo al precedente dedicato a Sant’Ambrogio. Nel 1456 si decise di realizzarlo al posto di quello della Santa Croce utilizzato dalla famiglia Pallotta come luogo di sepoltura. Nel 1463 è registrato un acquisto di broccato verde per confezionare dei paramenti destinati all’altare che evidentemente a quell’altezza cronologica era già concluso. Nel 1513 venne richiesto ad Agostino de Fondulis di restaurare e integrare la struttura. Come testimoniano le visite pastorali l’altare sopravvisse almeno fino al 1614, ma in seguito fu smantellato. Paola Bosio e Alessandro Barbieri hanno riferito queste terrecotte al corpus del cosiddetto Maestro degli Angeli Cantori, forse identificabile con Fondulino de Fondulis, nonno di Agostino.",La terracotta è in stato frammentario ed ha perduto quasi totalmente la policromia,,Frammenti del perduto polittico di San Marco della Cattedrale di Santa Maria Assunta di Crema  ,"AM1, 142"
